País,Número departamento,Departamento,Provincia,Número municipio,Municipio,Circunscripción,Localidad,Recinto,Número Mesa,Código Mesa,Elección,Inscritos,CC,FPV,MTS,UCS,MAS - IPSP,21F,PDC,MNR,PAN-BOL,Votos Válidos,Blancos,Nulos,Estado acta
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Colegio Saint Peters,22252,100320207292503806,Diputados Uninominales,222,133,0,3,5,30,1,0,4,1,177,20,1,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Colegio Saint Peters,22254,100320207292503808,Presidente y Vicepresidente,220,143,0,0,0,46,2,4,1,2,198,0,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Colegio Saint Peters,22254,100320207292503808,Diputados Uninominales,220,129,0,4,2,37,8,0,5,2,187,11,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Colegio Saint Peters,22255,100320207292503809,Presidente y Vicepresidente,48,36,0,0,0,7,0,0,0,0,43,0,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Colegio Saint Peters,22255,100320207292503809,Diputados Uninominales,48,31,0,0,0,5,1,0,1,0,38,5,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22391,100320207290230501,Presidente y Vicepresidente,226,90,1,4,2,85,2,21,0,2,207,1,6,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22391,100320207290230501,Diputados Uninominales,226,78,0,5,2,74,7,0,2,3,171,39,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22392,100320207290230502,Presidente y Vicepresidente,220,85,1,5,2,75,0,25,0,1,194,1,5,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22392,100320207290230502,Diputados Uninominales,220,75,0,7,4,59,4,0,1,2,152,44,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22393,100320207290230503,Presidente y Vicepresidente,219,78,0,3,1,82,0,26,2,1,193,1,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22393,100320207290230503,Diputados Uninominales,219,70,0,4,0,64,6,0,4,3,151,43,2,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22394,100320207290230504,Presidente y Vicepresidente,218,84,1,2,3,76,2,22,0,1,191,5,8,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22394,100320207290230504,Diputados Uninominales,218,78,0,5,5,51,12,0,6,3,160,40,4,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22395,100320207290230505,Presidente y Vicepresidente,224,84,0,3,1,96,2,20,0,1,207,0,3,Computada
Bolivia,2,La Paz,Murillo,1,Nuestra Señora de La Paz,Circunscripción Uninominal 8,Nuestra Señora de La Paz,Esc. Gral. Jose Manuel Pando,22395,100320207290230505,Diputados Uninominales,224,84,0,5,2,83,7,0,3,0,184,24,2,Computada
